пакет,версия,лицензия,поставка
@tailwindcss/oxide-linux-x64-musl,4.2.1,MIT,нет
@tailwindcss/oxide-wasm32-wasi,4.2.1,MIT,нет
@tailwindcss/oxide-win32-arm64-msvc,4.2.1,MIT,нет
@tailwindcss/oxide-win32-x64-msvc,4.2.1,MIT,нет
@tailwindcss/postcss,4.2.1,MIT,нет
@tybys/wasm-util,0.10.3,MIT,нет
@types/better-sqlite3,7.6.13,MIT,нет
@types/dom-mediacapture-transform,0.1.12,MIT,да
@types/dom-webcodecs,0.1.13,MIT,да
@types/estree,1.0.9,MIT,нет
@types/json-schema,7.0.15,MIT,нет
@types/json5,0.0.29,MIT,нет
@types/node,22.19.19,MIT,нет
@types/react,19.2.14,MIT,нет
@types/react-dom,19.2.3,MIT,нет
@typescript-eslint/eslint-plugin,8.69.0,MIT,нет
@typescript-eslint/parser,8.69.0,MIT,нет
@typescript-eslint/project-service,8.69.0,MIT,нет
@typescript-eslint/scope-manager,8.69.0,MIT,нет
@typescript-eslint/tsconfig-utils,8.69.0,MIT,нет
@typescript-eslint/type-utils,8.69.0,MIT,нет
@typescript-eslint/types,8.69.0,MIT,нет
@typescript-eslint/typescript-estree,8.69.0,MIT,нет
@typescript-eslint/utils,8.69.0,MIT,нет
@typescript-eslint/visitor-keys,8.69.0,MIT,нет
@unrs/resolver-binding-android-arm-eabi,1.12.2,MIT,нет
@unrs/resolver-binding-android-arm64,1.12.2,MIT,нет
@unrs/resolver-binding-darwin-arm64,1.12.2,MIT,нет
@unrs/resolver-binding-darwin-x64,1.12.2,MIT,нет
@unrs/resolver-binding-freebsd-x64,1.12.2,MIT,нет
@unrs/resolver-binding-linux-arm-gnueabihf,1.12.2,MIT,нет
@unrs/resolver-binding-linux-arm-musleabihf,1.12.2,MIT,нет
@unrs/resolver-binding-linux-arm64-gnu,1.12.2,MIT,нет
@unrs/resolver-binding-linux-arm64-musl,1.12.2,MIT,нет
@unrs/resolver-binding-linux-loong64-gnu,1.12.2,MIT,нет
@unrs/resolver-binding-linux-loong64-musl,1.12.2,MIT,нет
@unrs/resolver-binding-linux-ppc64-gnu,1.12.2,MIT,нет
@unrs/resolver-binding-linux-riscv64-gnu,1.12.2,MIT,нет
@unrs/resolver-binding-linux-riscv64-musl,1.12.2,MIT,нет
@unrs/resolver-binding-linux-s390x-gnu,1.12.2,MIT,нет
@unrs/resolver-binding-linux-x64-gnu,1.12.2,MIT,нет
@unrs/resolver-binding-linux-x64-musl,1.12.2,MIT,нет
@unrs/resolver-binding-openharmony-arm64,1.12.2,MIT,нет
@unrs/resolver-binding-wasm32-wasi,1.12.2,MIT,нет
@unrs/resolver-binding-win32-arm64-msvc,1.12.2,MIT,нет
@unrs/resolver-binding-win32-ia32-msvc,1.12.2,MIT,нет
@unrs/resolver-binding-win32-x64-msvc,1.12.2,MIT,нет
acorn,8.18.0,MIT,нет
acorn-jsx,5.3.2,MIT,нет
ajv,6.15.0,MIT,нет
ansi-styles,4.3.0,MIT,нет
argparse,2.0.1,Python-2.0,нет
aria-hidden,1.2.6,MIT,да
aria-query,5.3.2,Apache-2.0,нет
array-buffer-byte-length,1.0.2,MIT,нет
array-includes,3.1.9,MIT,нет
array.prototype.findlast,1.2.5,MIT,нет
array.prototype.findlastindex,1.2.6,MIT,нет
array.prototype.flat,1.3.3,MIT,нет
array.prototype.flatmap,1.3.3,MIT,нет
array.prototype.tosorted,1.1.4,MIT,нет
arraybuffer.prototype.slice,1.0.4,MIT,нет
ast-types-flow,0.0.8,MIT,нет
async-function,1.0.0,MIT,нет
available-typed-arrays,1.0.7,MIT,нет
axe-core,4.13.0,MPL-2.0,нет
axobject-query,4.1.0,Apache-2.0,нет
balanced-match,1.0.2,MIT,нет
balanced-match,4.0.4,MIT,нет
base64-js,1.5.1,MIT,да
baseline-browser-mapping,2.11.21,Apache-2.0,да
better-sqlite3,11.10.0,MIT,да
bindings,1.5.0,MIT,да
bl,4.1.0,MIT,да
brace-expansion,1.1.18,MIT,нет
brace-expansion,5.0.9,MIT,нет
braces,3.0.3,MIT,нет
browserslist,4.28.9,MIT,нет
buffer,5.7.1,MIT,да
buffer-from,1.1.2,MIT,нет
call-bind,1.0.9,MIT,нет
call-bind-apply-helpers,1.0.2,MIT,нет
call-bound,1.0.4,MIT,нет
callsites,3.1.0,MIT,нет
caniuse-lite,1.0.30001810,CC-BY-4.0,да
chalk,4.1.2,MIT,нет
